                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9964,                 7.6662,                 48.515,                 3.5447,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1093,                 5.2217,                 10.503,                 4.1701,             0.00065497,             0.00065497,             0.00065497
                      2,                 4.0267,                 6.0457,                 27.184,                 3.5977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6332,                 5.9995,                 8.9258,                 4.1155,              0.0013086,              0.0013086,              0.0013086
                      3,                 3.6347,                 5.5966,                 18.798,                 3.1977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7591,                 4978.8,                   1030,                 14.113,              0.0019489,              0.0019489,              0.0019489
                      4,                 3.1173,                 4.8267,                 14.495,                 2.6453,                 0.0003,                0.05263,                0.00018,                0.00011,                0.00061,                0.10526,                0.00042,                  8e-05,                 3.8451,                 58.325,                 518.43,                 4.3024,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.6166,                 4.9792,                 7.2882,                 3.0094,                0.00133,                0.17544,                0.00518,                0.00125,                0.00093,                0.12281,                0.00334,                0.00052,                 3.6391,                 10.169,                 5.5394,                  3.928,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.0986,                 5.2621,                 6.3207,                 2.5628,                0.00172,                0.22807,                0.00944,                0.00296,                0.00225,                0.29825,                0.01595,                0.00252,                 3.5552,                 4.6716,                 5.0359,                 3.3571,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.3258,                 4.6018,                 4.9699,                 2.8841,                0.02551,                0.26316,                0.05027,                0.01794,                0.02381,                0.24561,                0.03883,                0.00934,                   3.44,                 7.6172,                 4.5959,                 3.6592,               0.001901,               0.001901,               0.001901
                      8,                 2.8168,                 4.2144,                 5.0914,                 2.4423,                0.00105,                0.22807,                0.02975,                0.00547,                0.00114,                0.24561,                0.03931,                0.01358,                 3.2013,                 4.0339,                  4.849,                 3.2549,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.3081,                 4.1272,                 4.9333,                 2.6802,                0.00187,                0.31579,                0.04365,                0.01024,                0.00166,                 0.2807,                 0.0537,                0.00997,                 3.2323,                 4.1822,                 4.3234,                 3.0073,              0.0018614,              0.0018614,              0.0018614
                     10,                 3.0277,                 3.6574,                 4.1383,                 2.3271,                0.12982,                0.05263,                0.05002,                   0.02,                0.12982,                0.05263,                0.05423,                0.02408,                 3.1709,                  3.396,                 4.4837,                 2.9398,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.9684,                 3.6957,                 4.0456,                 2.3805,                0.02632,                0.17544,                0.03854,                 0.0131,                0.02632,                0.17544,                0.05413,                0.01635,                  3.253,                 3.6284,                  4.501,                 3.0609,              0.0018218,              0.0018218,              0.0018218
                     12,                 3.0729,                  3.879,                 3.9584,                 2.2463,                0.00847,                0.40351,                0.04648,                0.01403,                 0.0081,                0.38596,                0.03227,                0.01027,                 3.1492,                 3.3283,                 3.5402,                 2.9403,               0.001802,               0.001802,               0.001802
                     13,                 2.8634,                 3.8096,                 3.7138,                 2.1324,                0.01495,                0.35088,                0.08254,                0.02837,                 0.0142,                0.33333,                0.08764,                0.02963,                 2.9571,                 3.3609,                 3.8024,                   2.92,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.8567,                 3.5376,                 3.4999,                 2.2906,                0.07893,                0.12281,                0.03668,                0.01776,                 0.0902,                0.14035,                0.05257,                0.01894,                 2.9344,                 3.6617,                 4.7646,                 2.8477,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.8593,                 3.4563,                 3.5797,                  2.123,                 0.0807,                0.19298,                0.05722,                0.02138,                0.06119,                0.21053,                0.07075,                0.02057,                 2.8106,                  3.275,                 3.8604,                 2.7194,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.7381,                 3.6808,                 3.6195,                 2.1807,                0.00616,                0.35088,                0.04202,                0.01734,                0.00586,                0.33333,                0.04882,                0.01782,                 2.8339,                  3.448,                 3.8937,                 2.8468,              0.0017228,              0.0017228,              0.0017228
                     17,                  2.709,                 3.4862,                 3.5831,                 2.0901,                0.01874,                 0.2807,                0.03834,                0.01539,                0.02108,                0.31579,                0.04118,                0.01273,                 3.0635,                 3.4863,                 3.9596,                 2.8062,               0.001703,               0.001703,               0.001703
                     18,                  2.848,                 3.1893,                 3.5177,                 2.1502,                0.00581,                0.49123,                0.05683,                 0.0263,                0.00561,                0.47368,                0.08528,                0.02959,                 2.8711,                 4.4121,                 3.8294,                 2.7871,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7557,                 3.5137,                 3.5584,                 2.1256,                0.09694,                0.14035,                   0.03,                0.01313,                0.12118,                0.17544,                0.04564,                0.01522,                 2.9175,                 3.4159,                 3.4996,                 2.7522,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.6412,                 3.3491,                 3.4096,                 2.0823,                0.04668,                0.21053,                0.06246,                0.02482,                0.05446,                0.24561,                 0.0728,                0.02693,                 2.8786,                 3.5219,                 3.9435,                 2.8035,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.9195,                  3.279,                 3.6281,                 2.1677,                0.09497,                0.21053,                0.08242,                0.03758,                0.10465,                0.24561,                0.09707,                0.03575,                 2.8846,                 3.2458,                 3.3754,                 2.8035,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.812,                 3.1732,                 3.3925,                 2.0677,                  0.152,                0.03509,                0.03438,                0.01412,                0.23999,                0.05558,                 0.0669,                0.02182,                 2.8241,                 3.1528,                 5.9351,                 2.7114,               0.001604,               0.001604,               0.001604
                     23,                 2.7691,                 3.2866,                  3.451,                 2.1427,                0.00576,                0.33333,                0.03787,                  0.015,                0.00666,                0.38596,                0.04314,                0.01619,                 2.8343,                 3.2007,                 3.8051,                 2.7008,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.7541,                 3.5035,                 3.2678,                 2.0463,                0.02556,                0.21053,                0.03236,                0.01289,                0.10705,                0.17544,                 0.0465,                0.01447,                 2.7403,                 3.3305,                  4.056,                 2.6802,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.7023,                 3.2427,                 3.4677,                 2.0199,                0.08569,                0.12281,                 0.0311,                0.01314,                0.10417,                0.08772,                 0.0616,                0.01881,                 2.6271,                 3.3317,                 3.4387,                 2.6151,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.6411,                 3.0476,                 3.0311,                 2.1722,                0.18304,                0.12281,                0.06011,                0.02515,                0.18304,                0.12281,                0.06654,                0.02503,                 2.8239,                 3.3893,                 3.7041,                 2.5553,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.6875,                 3.1874,                 3.3554,                 1.9521,                0.16599,                0.12281,                0.06076,                0.02665,                0.18685,                0.15789,                0.07976,                0.02418,                 2.6694,                 2.8961,                 3.6073,                 2.4928,               0.001505,               0.001505,               0.001505
                     28,                 2.6186,                  3.141,                 3.1079,                 1.9723,                0.07466,                0.19298,                 0.0744,                0.03202,                 0.1468,                0.17544,                0.12236,                0.03466,                 2.7834,                 3.0937,                 3.8051,                 2.6303,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.7225,                 3.1948,                 3.1145,                 2.0381,                0.12976,                0.10526,                0.05843,                0.02066,                0.13327,                0.10526,                 0.0683,                0.02631,                 2.6855,                 3.4918,                 3.4738,                 2.6231,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.7464,                 3.0886,                 3.3972,                 2.1213,                0.19421,                0.08772,                0.05826,                0.02043,                 0.2719,                0.12281,                0.08347,                0.02594,                 2.8249,                 3.1923,                 3.3078,                 2.4554,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.6369,                 3.0269,                 3.1061,                  2.046,                0.20881,                0.15789,                0.08973,                0.03292,                0.18182,                0.14035,                0.07675,                0.02661,                 2.7885,                 3.3362,                 3.7647,                 2.5308,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.6136,                 3.2711,                 2.9372,                 2.0754,                0.14642,                0.10526,                0.06438,                0.03214,                0.16327,                0.12281,                0.08594,                0.03439,                  2.806,                 3.4005,                 3.5627,                 2.5034,               0.001406,               0.001406,               0.001406
                     33,                 2.6141,                 3.3393,                 2.9801,                  1.954,                0.33526,                0.08772,                0.08191,                 0.0367,                0.32038,                0.08772,                0.09832,                0.03409,                 2.7406,                 3.1233,                 3.2271,                 2.4728,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.7978,                 3.1367,                 3.0189,                  2.029,                0.20177,                0.14035,                0.07713,                0.02606,                 0.1722,                0.14035,                0.10734,                0.04643,                 2.9926,                 3.1428,                 3.4441,                 2.6781,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.6913,                  3.144,                 3.1926,                 1.9806,                0.27121,                0.12281,                0.06476,                0.02543,                0.28646,                0.12281,                0.07328,                0.02793,                 2.5565,                 2.9587,                 4.3219,                 2.4824,              0.0013466,              0.0013466,              0.0013466
                     36,                  2.607,                 3.0258,                 2.8754,                  1.803,                0.21208,                0.12281,                0.07754,                0.03477,                0.26494,                0.15789,                0.10549,                0.04366,                 2.6475,                 3.1112,                 3.6673,                 2.5179,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.5555,                 2.8879,                 2.9888,                 2.0448,                0.12705,                0.14035,                0.06798,                0.02557,                0.15881,                0.17544,                 0.0982,                 0.0349,                 2.5522,                 2.8149,                 3.4754,                 2.5275,               0.001307,               0.001307,               0.001307
                     38,                 2.5341,                 3.0877,                 2.9283,                 1.8671,                0.19589,                0.14035,                0.08353,                0.03601,                0.24486,                0.17544,                0.10201,                0.03681,                 2.6231,                 2.9045,                 3.1063,                 2.5958,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.5865,                 3.1503,                  3.011,                 2.0062,                0.17106,                0.10526,                0.07272,                0.03769,                0.17967,                0.14035,                 0.1091,                0.03724,                 2.7499,                 3.1302,                 3.3409,                 2.5138,              0.0012674,              0.0012674,              0.0012674
                     40,                  2.583,                 3.2744,                 3.2596,                 2.0773,                0.17864,                0.10526,                0.08973,                0.04657,                0.15284,                 0.1172,                0.12191,                0.04241,                 2.4624,                 2.9125,                  3.159,                 2.4755,              0.0012476,              0.0012476,              0.0012476
                     41,                  2.638,                 2.8525,                  2.928,                 1.9487,                0.18272,                0.07018,                0.07196,                0.02848,                0.17878,                0.12281,                0.07791,                0.02518,                 2.4804,                 3.0665,                 3.5212,                 2.4356,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.4251,                 2.7422,                 2.8381,                 1.9046,                0.18226,                0.08772,                0.11164,                0.04836,                0.20913,                0.11611,                0.12771,                0.03845,                 2.5653,                 3.2276,                 3.2424,                 2.5625,               0.001208,               0.001208,               0.001208
